M	#739	2015/12/01	"Waldemar Smirnow"	"MH-11238, silencedetection service parse ffmpeg binary path …"	wsmirnow/matterhorn	t/MH-11238-silencedetection-ff…	r/2.1.x	"Greg Logan (88)"
M	#738	2015/12/01	"Waldemar Smirnow"	"MH-11238, silencedetection service parse ffmpeg binary path …"	wsmirnow/matterhorn	t/MH-11238-silencedetection-ff…	r/2.0.x	"Greg Logan (88)"
M	#737	2015/12/01	"Waldemar Smirnow"	"MH-11238, silencedetection service parse ffmpeg binary path …"	wsmirnow/matterhorn	t/MH-11238-silencedetection-ff…	r/1.6.x	"Greg Logan (88)"
M	#736	2015/12/01	"Greg Logan"	"MH-11239: Fix for compilation issue."	greg_logan/matterhorn	t/MH-11239-develop-compile-iss…	develop	"Tobias M Schiebeck (95)"
M	#735	2015/11/30	"Lars Kiesow"	"MH-11234, Admin-NG throws a couple of 404 errors"	lkiesow/matterhorn	t/MH-11234-admin-ui-404	r/2.1.x	"Tobias M Schiebeck (95)"
M	#734	2015/11/25	"Rüdiger Rolf"	"MH-11079 Login-screen can now be shown in mobile and embed …"	opencast-community/matterhorn	t/MH-11079-embed-player-login-…	r/2.0.x	"Tobias M Schiebeck (81)"
M	#733	2015/11/25	"Rüdiger Rolf"	"MH-11079 Login-screen can now be shown in mobile and embed …"	opencast-community/matterhorn	t/MH-11079-embed-player-login	r/2.1.x	"Tobias M Schiebeck (82)"
M	#732	2015/11/23	"Tobias M Schiebeck"	"event metadata and event comment fixes"	opencast-community/matterhorn	f/MH-10818-event-metadata-crea…	r/2.1.x	"Rüdiger Rolf (102)"
	#731	2015/11/23	"Henning S."	"F/mh 10844 Zoom for Videos"	hstruebe/ocmh	f/MH-10844-zoom-for-videos	develop	"Greg Logan (18)"
M	#730	2015/11/23	"Simon Hötten"	"MH-11230, improve dev docs with info on how to efficiently …"	shoetten/matterhorn-fork	f/MH-11230-add-bundle-watch-cm…	develop	"Greg Logan (81)"
M	#729	2015/11/19	"Lars Kiesow"	"MH-11175, MH-11206, MH-11225, MH-11226, MH-11227, User …"	lkiesow/matterhorn	t/user-endpoint	r/2.1.x	"Tobias M Schiebeck (103)"
M	#728	2015/11/18	"Lars Kiesow"	"MH-11223, Remove Unused Files"	lkiesow/matterhorn	t/MH-11223-unused-files	r/2.1.x	"Lukas Rohner (107)"
M	#727	2015/11/18	"Lars Kiesow"	"MH-11212, Main Pom Clean-Up"	opencast-community/matterhorn	t/MH-11212-pom-xml	r/2.1.x	"Tobias M Schiebeck (107)"
M	#726	2015/11/17	"Greg Logan"	"MH-11221: Fixing confusing messages and incident reports in …"	greg_logan/matterhorn	t/MH-11211-composer-confusion-…	r/1.7.x	"Lars Kiesow (108)"
M	#725	2015/11/17	"Greg Logan"	"MH-11221: Fixing confusing messages and incident reports in …"	greg_logan/matterhorn	t/MH-11211-composer-confusion	r/2.0.x	"Lars Kiesow (108)"
M	#724	2015/11/17	"Greg Logan"	"MH-11221: Fixing confusing messages and incident reports in …"	greg_logan/matterhorn	t/MH-11211-composer-confusion	r/2.1.x	"Lars Kiesow (108)"
D	#723	2015/11/17	"Karen Dolan"	"MH-11220 fix SchedulerQuery setter bug"	opencast-community/matterhorn	t/MH-11220-SearchQuery-searchB…	develop	"Lars Kiesow (47)"
M	#722	2015/11/16	"Lars Kiesow"	"MH-11219, Karaf based Solr configuration"	lkiesow/matterhorn	t/MH-11219-solr-configuration	r/2.1.x	"Tobias M Schiebeck (102)"
D	#721	2015/11/16	"Simon Hötten"	"MH-11216, brings back -DdeployTo functionality to karaf."	shoetten/matterhorn-fork	t/MH-11216-add-DdeployTo-for-k…	r/2.1.x	
M	#720	2015/11/16	"Christoph Drießen"	"MH-11136 [BugFix] update read only metadata fields when …"	entwinemedia/matterhorn	t/MH-11136-event-details-not-u…	r/2.1.x	"Rüdiger Rolf (103)"
M	#719	2015/11/13	"Lukas Rohner"	"MH-11158 Fixed time editing of player directive"	entwinemedia/matterhorn	t/MH-11158-player-time	r/2.1.x	"Lars Kiesow (106)"
M	#718	2015/11/13	"Basil Brunner"	"MH-11160 Fixed overriting duplicated group names"	entwinemedia/matterhorn	t/MH-11160-existing-group	r/2.1.x	"Tobias M Schiebeck (108)"
M	#717	2015/11/13	"Basil Brunner"	"MH-11153 Make sure resource model service navigation …"	entwinemedia/matterhorn	t/MH-11153-acl-navigation	r/2.1.x	"Lars Kiesow (108)"
M	#716	2015/11/13	"Basil Brunner"	"MH-11101 [Bugfix] Fix Static Files Service REST endpoint"	entwinemedia/matterhorn	t/MH-11101-static-files-not-do…	r/2.1.x	"Rüdiger Rolf (103)"
M	#715	2015/11/12	"Christoph Drießen"	"MH-11099 [BugFix] call $scope.save() to save ACL"	entwinemedia/matterhorn	t/MH-11099-remove-role-from-ac…	r/2.1.x	"Lars Kiesow (106)"
M	#714	2015/11/12	"Christoph Drießen"	"MH-11155 remove obsolete role ROLE_INSTRUCTOR"	entwinemedia/matterhorn	t/MH-11155-remove-obsolete-ins…	r/2.1.x	"Rüdiger Rolf (103)"
M	#713	2015/11/12	"Lukas Rohner"	"MH-11189 Disable submit task button when clicking"	entwinemedia/matterhorn	t/MH-11189-start-task-button	r/2.1.x	"Lars Kiesow (106)"
M	#712	2015/11/12	"Lukas Rohner"	"MH-11137 Fixed commen reason selectbox bug"	entwinemedia/matterhorn	t/MH-11137-comment-chosen	r/2.1.x	"Lars Kiesow (106)"
M	#711	2015/11/12	"Basil Brunner"	"MH-11185 [Bugfix] Hide assets file size if it is set to …"	entwinemedia/matterhorn	t/MH-11185-file-size-zero-disp…	r/2.1.x	"Greg Logan (109)"
M	#710	2015/11/12	"Lukas Rohner"	"MH-11186 Removed superfluous row 'Flavor'"	entwinemedia/matterhorn	t/MH-11186-superfluous-flavor	r/2.1.x	"Michael Stypa (114)"
M	#709	2015/11/12	"Lukas Rohner"	"MH-11182 Fixed full text search with special characters"	entwinemedia/matterhorn	t/MH-11182-search-special-char…	r/2.1.x	"Greg Logan (109)"
M	#708	2015/11/12	"Basil Brunner"	"MH-11187 [Bugfix] Make sure the total number of themes is …"	entwinemedia/matterhorn	t/MH-11187-fix-themes-count	r/2.1.x	"Greg Logan (109)"
M	#707	2015/11/12	"Lukas Rohner"	"MH-11159 Fixed alphabetic user sorting"	entwinemedia/matterhorn	t/MH-11159-user-sorting	r/2.1.x	"Michael Stypa (114)"
M	#706	2015/11/12	"Basil Brunner"	"MH-11166 [Bugfix] Fix parsing of servers JSON data to make …"	entwinemedia/matterhorn	t/MH-11166-fix-paging-in-serve…	r/2.1.x	"Greg Logan (109)"
M	#705	2015/11/12	"Basil Brunner"	"Add several missing translation keys"	entwinemedia/matterhorn	bugfix/missing-translation-key…	r/2.1.x	"Michael Stypa (114)"
M	#704	2015/11/11	"Tobias M Schiebeck"	"MH-11162 update welcome pages for cas and shibboleth"	opencast-community/matterhorn	f/MH-11162-welcome-page	r/2.1.x	"Lars Kiesow (115)"
M	#703	2015/11/11	"Tobias M Schiebeck"	"MH-11198 i18n support for event dashboard"	opencast-community/matterhorn	f/MH-11198-dashboard-i18n	r/2.1.x	"Michael Stypa (114)"
M	#702	2015/11/10	"Edmore Moyo"	"MH-11176 : Cannot playback a recording via LTI in 2.x"	etmoyo/matterhorn	t/MH-11176-cannot-play-media-v…	r/2.1.x	"Lukas Rohner (113)"
M	#701	2015/11/09	"Rüdiger Rolf"	"MH-11093 theodul layoutmanager bugs and other theodul …"	opencast-community/matterhorn	t/MH-11093-theodul-layoutmanag…	r/2.1.x	"Basil Brunner (110)"
M	#700	2015/11/06	"Greg Logan"	"MH-11202: Removing unnecessary synchronization from video …"	greg_logan/matterhorn	t/MH-11202-synchronized-videoe…	r/2.1.x	"Rüdiger Rolf (117)"
M	#699	2015/11/06	"Greg Logan"	"MH-11202: Removing unnecessary synchronization from video …"	greg_logan/matterhorn	t/MH-11202-synchronized-videoe…	r/2.0.x	"Rüdiger Rolf (117)"
M	#698	2015/11/05	"Karen Dolan"	"MH-9281 Config option to protect existing MH series catalog …"	opencast-community/matterhorn	f/MH-9281-Optional-series-MH-c…	develop	"Rüdiger Rolf (3)"
	#697	2015/11/05	"Karen Dolan"	"MH-9281 Config option to protect existing MH series catalog …"	opencast-community/matterhorn	f/MH-9281-Optional-series-MH-c…	r/1.7.x	
	#697	2015/11/05	"Karen Dolan"	"MH-9281 Config option to protect existing MH series catalog …"	opencast-community/matterhorn	f/MH-9281-Optional-series-MH-c…	r/1.7.x	
